artist,song,duration_ms,year,popularity,danceability,energy,tempo,genre
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,2002,70,0.845,0.768,100,"hip hop, pop, R&B"
Black Eyed Peas,Shut Up,296186,2003,56,0.81,0.714,112.968,"hip hop, pop"
t.A.T.u.,All The Things She Said,214440,2020,39,0.527,0.834,179.92,pop
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,2003,66,0.793,0.698,130.017,"pop, Dance/Electronic"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,2002,68,0.648,0.759,85.996,"hip hop, pop"
Panjabi MC,Mundian to Bach Ke,244666,2003,61,0.778,0.879,98.077,"World/Traditional, hip hop"
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,2004,59,0.734,0.668,99.971,"pop, Dance/Electronic"
JAY-Z,03' Bonnie & Clyde,205560,2002,71,0.759,0.678,89.64,hip hop
50 Cent,P.I.M.P.,249480,2003,76,0.712,0.772,84.722,"hip hop, pop"
Jamelia,Superstar,215480,2003,69,0.801,0.645,110.01,pop
Linkin Park,Faint,162600,2003,72,0.554,0.978,135.095,"rock, metal"
DMX,X Gon' Give It To Ya,217586,2007,70,0.761,0.899,95.027,"hip hop, pop"
Evanescence,Bring Me To Life,235893,2003,79,0.331,0.943,94.612,metal
Sugababes,Hole In The Head,218173,2003,57,0.785,0.933,125.011,"pop, R&B"
Craig David,Rise & Fall (feat. Sting),287226,2002,59,0.405,0.589,83.373,"hip hop, pop, R&B"
Three Days Grace,I Hate Everything About You,231480,2003,72,0.498,0.83,89.342,"rock, metal"
Lil Jon & The East Side Boyz,Get Low,324600,2002,47,0.78,0.604,101.043,"hip hop, pop"
B2K,"Bump, Bump, Bump (feat. P. Diddy)",282773,2003,62,0.835,0.68,95.508,"hip hop, pop, R&B"
Baby Bash,Suga Suga,239026,2003,73,0.662,0.748,82.331,"hip hop, pop, R&B, latin"
Aaliyah,Miss You - Main,245240,2002,36,0.602,0.34,109.598,"hip hop, pop, R&B"
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,2003,59,0.804,0.836,120.046,pop
Blue,Sorry Seems To Be The Hardest Word,210066,2004,57,0.564,0.6,78.955,pop
Delta Goodrem,Lost Without You,248546,2003,54,0.581,0.747,146.301,pop
Justin Timberlake,Rock Your Body,267266,2002,76,0.892,0.714,100.972,pop
The White Stripes,Seven Nation Army,231920,2003,3,0.741,0.469,123.904,"rock, blues"
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,298600,2003,54,0.772,0.724,84.038,"hip hop, pop"
Beyoncé,Baby Boy (feat. Sean Paul),244826,2003,63,0.655,0.488,91.025,"pop, R&B"
Lil' Kim,Magic Stick,359973,2019,47,0.849,0.498,92.98,"hip hop, pop, R&B"
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,2002,61,0.859,0.658,98.989,pop
Nickelback,Someday,207466,2003,68,0.455,0.858,163.118,"rock, metal"
Blue,U Make Me Wanna - Radio Edit,222400,2003,48,0.6,0.736,158.108,pop
Ashanti,Rain On Me,297960,2003,50,0.606,0.699,83.701,"hip hop, pop, R&B"
Trapt,Headstrong,285569,2002,72,0.492,0.896,184.981,"rock, metal"
Simply Red,Sunrise,199040,2008,58,0.791,0.733,105.987,"rock, R&B, Folk/Acoustic, pop"
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",184906,2003,61,0.811,0.657,199.958,"pop, R&B"
Girls Aloud,Sound Of The Underground,221426,2003,58,0.568,0.867,163.944,"pop, Dance/Electronic"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,2016,52,0.527,0.808,87.025,"hip hop, pop, R&B"
Room 5,Make Luv,212413,2003,57,0.883,0.887,124.814,Dance/Electronic
Fatman Scoop,Be Faithful,164506,2009,49,0.649,0.713,101.129,hip hop
Limp Bizkit,Behind Blue Eyes,269973,2003,70,0.595,0.489,120.315,metal
Sugababes,Too Lost In You,237693,2003,58,0.586,0.705,98.014,"pop, R&B"
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",219400,2003,57,0.802,0.863,81.008,"hip hop, pop"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,2003,67,0.894,0.404,102.009,"hip hop, pop"
Chingy,Right Thurr,250746,2003,69,0.866,0.749,92.074,"hip hop, pop, R&B"
Eminem,Sing For The Moment,339546,2002,71,0.668,0.824,163.961,hip hop
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,234800,2003,48,0.853,0.752,104.946,"hip hop, pop, R&B"
Mýa,My Love Is Like...Wo - Main Mix,209533,2003,48,0.831,0.695,132.817,"pop, R&B"
50 Cent,21 Questions,224440,2003,72,0.646,0.813,92.729,"hip hop, pop"
Nelly,Air Force Ones,304000,2002,61,0.784,0.459,164.062,"hip hop, pop, R&B"
Missy Elliott,Gossip Folks (feat. Ludacris),234893,2002,57,0.707,0.538,121.732,"hip hop, pop, R&B"
Girls Aloud,Jump,220360,2003,60,0.658,0.826,134.465,"pop, Dance/Electronic"
Ultrabeat,Pretty Green Eyes - Radio Edit,201920,2003,59,0.553,0.775,139.993,"pop, Dance/Electronic"
Christina Aguilera,Fighter,245960,2002,67,0.435,0.92,188.899,pop
Frankie J,Don't Wanna Try,245293,2003,49,0.655,0.433,130.127,"hip hop, pop, R&B"
Snoop Dogg,Beautiful,299146,2005,67,0.893,0.74,101.025,"hip hop, pop"
Floetry,Say Yes,268373,2002,57,0.747,0.398,117.901,"hip hop, pop, R&B"
Ginuwine,In Those Jeans,243306,2003,59,0.691,0.541,127.683,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,2003,0,0.66,0.698,123.005,rock
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,208386,2003,38,0.85,0.862,130.036,"pop, Dance/Electronic"
Ludacris,Stand Up,213760,2003,57,0.751,0.84,99.057,"hip hop, pop"
Nas,I Can,253720,2002,58,0.837,0.885,95.313,hip hop
3 Doors Down,When I'm Gone,260333,2002,67,0.53,0.768,148.095,"pop, rock, metal"
Tyrese,How You Gonna Act Like That,294693,2002,60,0.733,0.521,112.913,"hip hop, pop, R&B"
Justin Timberlake,Cry Me a River,288333,2002,73,0.624,0.654,73.898,pop
Westlife,Mandy,199320,2003,57,0.447,0.636,105.678,pop
No Doubt,It's My Life,226053,2003,60,0.612,0.735,126.326,"rock, pop"
Amanda Perez,Angel,218760,2003,48,0.638,0.54,143.772,"pop, R&B"
JAY-Z,Excuse Me Miss,281240,2002,56,0.714,0.862,92.849,hip hop
Coldplay,Clocks,307879,2002,79,0.577,0.749,130.97,"rock, pop"
Kelly Rowland,Stole,249293,2002,54,0.649,0.718,79.993,"hip hop, pop, R&B"
Missy Elliott,Work It,263226,2002,70,0.884,0.677,101.868,"hip hop, pop, R&B"
Ashanti,Rock Wit U (Awww Baby),209120,2003,65,0.71,0.797,94.998,"hip hop, pop, R&B"
Junior Senior,Move Your Feet,181826,2002,67,0.747,0.904,118.877,pop
Audioslave,Like a Stone,293960,2002,75,0.614,0.568,107.849,"rock, metal"
Sean Paul,Like Glue,232506,2002,61,0.757,0.78,97.917,"hip hop, pop"
Jaheim,Put That Woman First,245773,2002,55,0.649,0.536,78.935,"pop, R&B"
Jennifer Lopez,All I Have (feat. LL Cool J),254466,2002,60,0.701,0.669,83.066,"hip hop, pop, R&B"
Monica,So Gone,242773,2003,64,0.618,0.552,81.975,"pop, R&B"
Dido,White Flag,240040,2003,44,0.512,0.525,169.951,pop
The Roots,The Seed (2.0),267933,2002,63,0.758,0.957,111.121,hip hop
Chingy,Holidae In,314400,2003,61,0.81,0.791,153.067,"hip hop, pop, R&B"
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),223973,2003,61,0.646,0.6,192.082,"hip hop, pop, R&B"
Kelly Clarkson,Miss Independent,214773,2003,47,0.656,0.615,175.943,"pop, R&B"
Ja Rule,Mesmerize,278693,2002,61,0.769,0.646,90.079,"hip hop, pop, R&B"
Matchbox Twenty,Unwell,228706,2002,63,0.256,0.788,80.718,"pop, rock"
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,66,0.871,0.597,125.999,"hip hop, pop"
Fabolous,Into You (feat. Tamia),295773,2003,67,0.546,0.538,182.12,"hip hop, pop, R&B"
Switchfoot,Meant to Live,201373,2003,61,0.397,0.903,151.551,"rock, pop"
Daniel Bedingfield,If You're Not The One,257026,2002,58,0.688,0.538,119.998,pop
Good Charlotte,Lifestyles of the Rich & Famous,190173,2002,68,0.62,0.93,106.22,"rock, metal"
Wayne Wonder,No Letting Go,202013,2003,63,0.496,0.819,100.215,"hip hop, R&B"
The Strokes,Reptilia,219826,2003,74,0.489,0.649,158.009,rock
Avril Lavigne,I'm with You,223066,2002,70,0.457,0.406,151.95,pop
Will Young,Leave Right Now,214733,2003,55,0.641,0.445,81.931,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,2004,81,0.894,0.791,105.018,"hip hop, pop, R&B"
Maroon 5,This Love,206200,2002,77,0.712,0.862,95.051,pop
Britney Spears,Toxic,198800,2003,81,0.774,0.838,143.04,pop
Outkast,Hey Ya!,235213,2003,80,0.727,0.974,79.526,"hip hop, pop"
Hoobastank,The Reason,232800,2003,79,0.472,0.671,82.952,"pop, rock, metal"
Anastacia,Left Outside Alone,257426,2004,65,0.663,0.746,102.847,pop
Daddy Yankee,Gasolina,192600,2004,11,0.857,0.801,96.009,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,2004,53,0.785,0.799,104.923,"hip hop, pop"
O-Zone,Dragostea Din Tei,215431,2004,56,0.809,0.965,130.103,pop
Terror Squad,Lean Back,247426,2004,67,0.783,0.916,95.321,hip hop
Anastacia,Sick and Tired,212266,1999,56,0.598,0.868,99.848,pop
Gwen Stefani,What You Waiting For?,221226,2004,60,0.676,0.948,136.027,"pop, R&B"
Ashanti,Only U - No Intro,186306,2004,56,0.601,0.621,94.547,"hip hop, pop, R&B"
The Rasmus,In the Shadows,257920,2003,68,0.6,0.796,105.991,metal
Houston,I Like That,236520,2004,59,0.797,0.502,106.997,"hip hop, pop"
Beyoncé,Naughty Girl,208600,2003,63,0.735,0.466,99.973,"pop, R&B"
Linkin Park,Numb,185586,2003,81,0.496,0.863,110.018,"rock, metal"
Lloyd Banks,On Fire,187280,2004,61,0.759,0.825,94.857,"hip hop, pop"
Akon,Locked Up,235066,2004,16,0.818,0.579,89.987,pop
D12,My Band,298773,2004,73,0.851,0.849,120.014,"hip hop, pop, rock"
Jay Sean,Eyes On You - Radio Mix,190493,2004,42,0.802,0.672,96.525,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,2016,66,0.833,0.515,97.007,pop
Destiny's Child,Lose My Breath,242013,2004,61,0.814,0.899,119.011,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,171360,2004,72,0.597,0.837,126.342,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),223000,2004,67,0.826,0.647,102.017,"pop, R&B"
Kelis,Trick Me,206106,2003,63,0.97,0.72,107.17,"pop, R&B, Dance/Electronic"
LL Cool J,Headsprung,267320,2004,56,0.718,0.786,99.916,"hip hop, pop, R&B"
Spiderbait,Black Betty - Edit,205973,2004,63,0.562,0.865,124.047,rock
George Michael,Amazing,265826,2004,57,0.805,0.754,128.429,set()
Britney Spears,My Prerogative,213893,2004,53,0.749,0.938,111.014,pop
Nina Sky,Move Ya Body,232000,2004,67,0.87,0.712,121.057,"pop, R&B"
Baby Bash,Suga Suga,239026,2003,73,0.662,0.748,82.331,"hip hop, pop, R&B, latin"
Petey Pablo,Freek-A-Leek,235186,2003,56,0.737,0.697,104.917,"hip hop, pop"
JAY-Z,Dirt Off Your Shoulder,245173,2003,53,0.779,0.655,163.971,hip hop
Juanes,La Camisa Negra,216706,2004,70,0.751,0.731,97.007,"pop, latin"
Avril Lavigne,Nobody's Home,212413,2004,61,0.348,0.907,185.406,pop
Robbie Williams,Radio,233600,2004,33,0.607,0.874,130.015,"pop, rock"
Black Eyed Peas,Hey Mama,214893,2003,49,0.86,0.866,100.15,"hip hop, pop"
Ying Yang Twins,Salt Shaker,252440,2003,61,0.884,0.697,101.965,"hip hop, pop"
Enrique Iglesias,Not In Love - Radio Mix,223133,2003,37,0.762,0.885,117.021,"pop, latin"
Kelis,Milkshake,182626,2003,68,0.881,0.774,112.968,"pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,196906,2003,68,0.579,0.849,100.021,"rock, metal"
JoJo,Leave (Get Out) - Radio Edit,242746,2005,49,0.656,0.513,86.891,"hip hop, pop, R&B"
Christina Milian,Dip It Low,197186,2004,45,0.752,0.722,169.131,"hip hop, pop, R&B"
Avant,Read Your Mind,263506,2003,56,0.755,0.381,73.108,"pop, R&B"
Eminem,Just Lose It,248680,2004,67,0.94,0.633,121.003,hip hop
Sugababes,Too Lost In You,237693,2003,58,0.586,0.705,98.014,"pop, R&B"
Snoop Dogg,Drop It Like It's Hot,266066,2004,39,0.892,0.628,92.063,"hip hop, pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,2002,68,0.765,0.666,87.002,"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,207066,2004,65,0.748,0.845,123.925,Dance/Electronic
D12,How Come,249533,2004,57,0.745,0.858,89.983,"hip hop, pop, rock"
Basement Jaxx,Good Luck,282306,2003,0,0.571,0.968,154.07,"pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,192106,2004,67,0.677,0.682,106.279,hip hop
Chingy,One Call Away,276800,2003,61,0.765,0.821,162.519,"hip hop, pop, R&B"
T.I.,Bring Em Out,216706,2004,63,0.759,0.891,98.579,"hip hop, pop"
DJ Casper,Cha Cha Slide - Hardino Mix,222146,2004,51,0.853,0.911,131.012,set()
Kylie Minogue,I Believe in You,200973,2004,47,0.548,0.785,120.939,"pop, Dance/Electronic"
Twista,Overnight Celebrity,233360,2004,66,0.828,0.792,134.199,"hip hop, pop, R&B"
N.E.R.D,She Wants To Move,213786,2004,57,0.766,0.851,115.012,hip hop
Britney Spears,Everytime,230306,2003,63,0.398,0.284,109.599,pop
U2,Vertigo,193520,2004,64,0.416,0.819,140.083,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,237026,2004,77,0.277,0.663,104.561,rock
J-Kwon,Tipsy - Club Mix,247106,2001,59,0.925,0.741,93.04,"hip hop, pop"
G-Unit,Wanna Get To Know You,265026,2003,61,0.513,0.826,76.91,"hip hop, pop"
Lil' Flip,Sunshine (feat. Lea),225173,2004,42,0.814,0.387,93.961,"hip hop, pop"
Kanye West,Jesus Walks,193733,2004,73,0.637,0.834,87.312,hip hop
Evanescence,My Immortal,262533,2003,72,0.19,0.265,79.012,metal
Nelly,My Place,336506,2004,57,0.6,0.641,163.153,"hip hop, pop, R&B"
Lemar,If There's Any Justice,229080,2004,46,0.706,0.665,89.993,R&B
No Doubt,It's My Life,226053,2003,60,0.612,0.735,126.326,"rock, pop"
Avril Lavigne,Don't Tell Me,202013,2004,58,0.523,0.795,144.106,pop
Twista,Slow Jamz,316053,2004,72,0.559,0.733,145.115,"hip hop, pop, R&B"
Green Day,American Idiot,176346,2004,77,0.38,0.988,186.113,rock
Kelis,Millionaire,224933,2003,57,0.68,0.847,176.051,"pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,266040,2004,43,0.803,0.924,116.972,"pop, rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,2003,55,0.663,0.465,127.932,"pop, R&B"
Kanye West,Through The Wire,221226,2004,76,0.571,0.739,83.089,hip hop
Special D.,Come With Me - Radio Edit,185133,2004,61,0.739,0.999,139.982,pop
Ludacris,Splash Waterfalls,290760,2003,48,0.734,0.846,145.894,"hip hop, pop"
Avril Lavigne,My Happy Ending,242413,2004,68,0.414,0.936,170.229,pop
Dido,White Flag,240040,2003,44,0.512,0.525,169.951,pop
Eamon,Fuck It (I Don't Want You Back),225106,2004,64,0.828,0.653,68.507,set()
Beyoncé,"Me, Myself and I",301133,2003,62,0.75,0.458,83.61,"pop, R&B"
3 Doors Down,Here Without You,238733,2002,74,0.557,0.533,143.994,"pop, rock, metal"
Kanye West,All Falls Down,223506,2004,80,0.657,0.734,91.03,hip hop
Twista,Sunshine (feat. Anthony Hamilton),226013,2004,56,0.926,0.888,98.523,"hip hop, pop, R&B"
Katie Melua,The Closest Thing to Crazy,252466,2003,55,0.562,0.219,127.831,"pop, easy listening, jazz"
Usher,My Boo,223440,2004,76,0.662,0.507,86.412,"hip hop, pop, R&B"
Lloyd,Southside,277840,2004,59,0.688,0.404,75.007,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,2004,59,0.668,0.905,128.658,Dance/Electronic
The Streets,Fit but You Know It,254266,2004,58,0.68,0.844,172.302,"hip hop, Dance/Electronic"
JUVENILE,Slow Motion,248200,2003,64,0.713,0.734,172.872,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,66,0.871,0.597,125.999,"hip hop, pop"
Girls Aloud,Love Machine,205360,2004,59,0.663,0.95,116.02,"pop, Dance/Electronic"
Jessica Simpson,With You,191826,2003,57,0.553,0.756,94.487,"pop, R&B"
Eminem,Like Toy Soldiers,296880,2004,48,0.52,0.768,79.178,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),189506,2001,65,0.345,0.0581,174.117,pop
Ashlee Simpson,Pieces Of Me,217440,2004,56,0.505,0.799,174.001,pop
Will Young,Leave Right Now,214733,2003,55,0.641,0.445,81.931,pop
Alicia Keys,You Don't Know My Name,366733,2003,61,0.264,0.663,167.078,"pop, R&B"
Mariah Carey,We Belong Together,201400,2005,69,0.84,0.476,139.987,"pop, R&B"
Mario,Let Me Love You,256733,2004,72,0.656,0.578,94.514,"pop, R&B"
Kanye West,Gold Digger,207626,2005,78,0.629,0.696,93.034,hip hop
Rihanna,Pon de Replay,246960,2005,77,0.779,0.64,99.019,"hip hop, pop, R&B"
50 Cent,Candy Shop,209106,2005,79,0.614,0.574,125.173,"hip hop, pop"
James Blunt,You're Beautiful,209493,2005,75,0.675,0.479,81.998,pop
Green Day,Boulevard of Broken Dreams,261266,2004,72,0.49,0.679,167.046,rock
The Pussycat Dolls,Don't Cha,272080,2005,72,0.875,0.631,120.003,"pop, R&B"
Daniel Powter,Bad Day,233640,2005,74,0.599,0.785,140.046,pop
Akon,Bananza (Belly Dancer),238493,2004,28,0.878,0.699,104.838,pop
Madonna,Hung Up,337733,2005,74,0.649,0.647,125.02,pop
50 Cent,Just A Lil Bit,237706,2005,76,0.489,0.692,96.946,"hip hop, pop"
Crazy Frog,Axel F,168879,2005,67,0.86,0.907,138.045,pop
Eminem,Ass Like That,265480,2004,52,0.646,0.796,83.093,hip hop
Sean Paul,We Be Burnin',213066,2005,59,0.95,0.803,117,"hip hop, pop"
Gwen Stefani,Rich Girl,236213,2004,68,0.856,0.754,98.018,"pop, R&B"
The Chemical Brothers,Galvanize,393813,2005,63,0.745,0.714,104.003,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,2005,73,0.688,0.835,84.858,"hip hop, pop, rock"
50 Cent,Disco Inferno,214226,2005,72,0.925,0.659,97.018,"hip hop, pop"
The Game,How We Do,235533,2005,74,0.862,0.648,98.012,"hip hop, pop"
Chris Brown,Run It! (feat. Juelz Santana),229866,2005,71,0.846,0.482,100.969,"hip hop, pop, R&B"
Mariah Carey,It's Like That,203360,2005,0,0.8,0.633,95.953,"pop, R&B"
Black Eyed Peas,My Humps,326960,2005,67,0.802,0.682,123.95,"hip hop, pop"
Ciara,Oh (feat. Ludacris),256346,2004,61,0.8,0.496,128.29,"pop, R&B"
50 Cent,Outta Control - Remix,247506,2005,60,0.772,0.599,92.029,"hip hop, pop"
Baby Bash,"Baby, I'm Back",219920,2005,4,0.899,0.365,100.01,"hip hop, pop, R&B, latin"
Jennifer Lopez,Get Right,225533,2005,65,0.741,0.759,97.084,"hip hop, pop, R&B"
JAY-Z,Numb / Encore,205733,2004,76,0.687,0.793,107.045,hip hop
The Game,Hate It Or Love It,206400,2005,77,0.802,0.785,99.998,"hip hop, pop"
Gorillaz,Feel Good Inc.,222640,2005,82,0.818,0.705,138.559,hip hop
Black Eyed Peas,Don't Phunk With My Heart,239773,2005,62,0.69,0.928,130.889,"hip hop, pop"
Akon,Lonely,235800,2004,21,0.629,0.532,90.098,pop
Bodyrockers,I Like The Way - Radio Edit,200053,2005,54,0.642,0.851,127.988,"rock, Dance/Electronic"
Sugababes,Push The Button,218093,2005,64,0.962,0.66,126.016,"pop, R&B"
Jeezy,Soul Survivor,280013,2005,55,0.684,0.493,84.03,"hip hop, pop"
Eminem,Mockingbird,250760,2004,77,0.637,0.678,84.039,hip hop
Shakira,La Tortura (feat. Alejandro Sanz),212893,2005,72,0.74,0.783,100.011,"pop, latin"
Gorillaz,DARE,244999,2005,73,0.76,0.891,120.264,hip hop
Snoop Dogg,Signs,236813,2004,54,0.94,0.713,112.955,"hip hop, pop"
Robbie Williams,Tripping,276603,2005,58,0.666,0.922,118.014,"pop, rock"
David Banner,Play,230133,2005,52,0.837,0.658,95.027,"hip hop, pop"
Trillville,Some Cut,283454,2004,50,0.9,0.515,84.995,"hip hop, pop"
D4L,Laffy Taffy,224253,2005,63,0.891,0.439,77.499,"hip hop, pop"
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,2005,67,0.904,0.813,125.461,"hip hop, pop, R&B"
Rob Thomas,Lonely No More,226640,2005,56,0.551,0.896,171.79,"pop, Folk/Acoustic"
Brian McFadden,Almost Here,229826,2004,42,0.561,0.452,77.984,set()
Bobby V.,"Slow Down - 12"" Version",258666,2005,65,0.568,0.732,186.048,"hip hop, pop, R&B"
Backstreet Boys,Incomplete,239586,2005,63,0.437,0.589,133.631,pop
Pretty Ricky,Grind With Me,237733,2005,63,0.7,0.538,136.518,"hip hop, pop, R&B"
Kanye West,Diamonds From Sierra Leone - Remix,233400,2005,61,0.672,0.814,97.043,hip hop
Snoop Dogg,Drop It Like It's Hot,266066,2004,39,0.892,0.628,92.063,"hip hop, pop"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,2005,41,0.905,0.55,100.813,"hip hop, pop"
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,2004,63,0.878,0.417,77.49,"pop, R&B"
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,2005,52,0.939,0.498,113.053,"pop, R&B"
Amerie,1 Thing,238746,2008,52,0.636,0.946,125.085,"hip hop, pop, R&B"
Ludacris,Get Back,270746,2004,59,0.555,0.639,171.609,"hip hop, pop"
Franz Ferdinand,Do You Want To,215000,2005,61,0.412,0.944,123.091,rock
Natalie Imbruglia,Shiver,222653,2005,52,0.489,0.798,94.163,"pop, Folk/Acoustic"
Gwen Stefani,Hollaback Girl,199853,2004,69,0.926,0.916,110.007,"pop, R&B"
Pretty Ricky,Your Body,240040,2005,59,0.838,0.594,90.038,"hip hop, pop, R&B"
Thirty Seconds To Mars,The Kill,231533,2005,74,0.179,0.912,182.99,rock
Alicia Keys,Karma,256000,2003,50,0.727,0.736,85.098,"pop, R&B"
2Pac,Ghetto Gospel,238053,2004,68,0.794,0.614,80.569,hip hop
Craig David,Don't Love You No More (I'm Sorry),243986,2005,56,0.636,0.558,100.113,"hip hop, pop, R&B"
Katie Melua,Nine Million Bicycles,197160,2005,60,0.534,0.247,82.168,"pop, easy listening, jazz"
Lil Jon & The East Side Boyz,Lovers And Friends,260600,2004,66,0.675,0.501,139.861,"hip hop, pop"
Mariah Carey,Don't Forget About Us - Radio Edit,233866,2005,0,0.7,0.529,143.555,"pop, R&B"
Ying Yang Twins,Wait (The Whisper Song),179160,2005,57,0.933,0.513,102.017,"hip hop, pop"
Will Smith,Switch,197666,2020,34,0.873,0.9,102.516,"hip hop, pop"
Bow Wow,Like You (feat. Ciara),205840,2005,66,0.714,0.6,82.017,"hip hop, pop, R&B"
Kaiser Chiefs,Everyday I Love You Less And Less,217706,2005,58,0.49,0.956,160.028,rock
Kelly Clarkson,Behind These Hazel Eyes,198973,2004,59,0.548,0.889,90.048,"pop, R&B"
Black Eyed Peas,Don't Lie,219000,2005,61,0.662,0.785,89.885,"hip hop, pop"
Westlife,You Raise Me Up,241066,2005,1,0.129,0.358,75.048,pop
Ray J,One Wish,337640,2005,62,0.525,0.652,127.673,"hip hop, pop, R&B"
Papa Roach,Scars,208199,2004,60,0.455,0.929,89.782,"rock, metal"
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,2006,71,0.535,0.948,103.183,rock
Shayne Ward,That's My Goal,219600,2006,1,0.286,0.508,68.637,pop
Bow Wow,Let Me Hold You (feat. Omarion),248493,2005,62,0.815,0.662,151.518,"hip hop, pop, R&B"
Kaiser Chiefs,I Predict A Riot,233186,2005,63,0.395,0.979,158.842,rock
Usher,Caught Up,224640,2004,61,0.817,0.806,110.086,"hip hop, pop, R&B"
Kelly Clarkson,Because of You,219493,2004,71,0.587,0.583,139.92,"pop, R&B"
3 Doors Down,Let Me Go,243053,2012,52,0.478,0.863,92.004,"pop, rock, metal"
Nickelback,Photograph,258920,2005,67,0.515,0.876,145.916,"rock, metal"
T-Pain,I'm Sprung,231040,2005,0,0.722,0.329,99.991,"hip hop, pop, R&B"
Destiny's Child,Cater 2 U,245400,2004,58,0.605,0.584,125.802,"pop, R&B"
The Pussycat Dolls,Stickwitu,207506,2005,67,0.548,0.554,79.918,"pop, R&B"
Ryan Cabrera,TRUE,204173,2004,62,0.598,0.4,96.938,pop
Stereophonics,Dakota,297426,2005,69,0.506,0.93,146.994,"rock, pop"
Eminem,Like Toy Soldiers,296880,2004,67,0.52,0.768,79.178,hip hop
Nelly,Over And Over,253933,2004,61,0.644,0.517,169.799,"hip hop, pop, R&B"
Coldplay,Speed of Sound,287906,2005,69,0.514,0.898,123.067,"rock, pop"
KT Tunstall,Suddenly I See,201706,2005,71,0.587,0.767,100.38,"World/Traditional, pop, Folk/Acoustic"
Destiny's Child,Girl,224146,2004,55,0.567,0.747,89.036,"pop, R&B"
Kelly Clarkson,Since U Been Gone,188960,2004,71,0.662,0.739,130.999,"pop, R&B"
U2,Sometimes You Can't Make It On Your Own,305080,2004,56,0.53,0.597,96,"World/Traditional, rock"
The All-American Rejects,Dirty Little Secret,193653,2005,65,0.469,0.955,143.853,"rock, pop"
Toby Keith,As Good As I Once Was,227840,2005,67,0.68,0.87,119.075,country
Gwen Stefani,Cool,189333,2004,59,0.709,0.721,112.019,"pop, R&B"
Foo Fighters,Best of You,255626,2005,76,0.366,0.94,130.198,"rock, metal"
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,2005,82,0.778,0.824,100.024,"pop, latin"
Sean Paul,Temperature,218573,2005,78,0.951,0.6,125.04,"hip hop, pop"
Justin Timberlake,SexyBack (feat. Timbaland),242733,2006,78,0.967,0.583,117,pop
Beyoncé,Irreplaceable,227853,2007,70,0.447,0.694,175.868,"pop, R&B"
Amy Winehouse,Rehab,214946,2006,71,0.407,0.558,71.815,R&B
Rihanna,SOS,238920,2006,73,0.677,0.671,137.046,"hip hop, pop, R&B"
Gnarls Barkley,Crazy,177466,2006,74,0.855,0.587,111.97,"hip hop, R&B"
Busta Rhymes,Touch It,214960,2006,61,0.658,0.551,138.335,"hip hop, pop"
Nelly Furtado,Maneater,258893,2006,79,0.796,0.777,132.722,"hip hop, pop, latin"
